8007	1
8018	0
8050	0
8069	0
8362	0
35999	1
75535	1
79366	1
112571	1
112666	0
118920	1
119347	0
123575	0
124595	0
128117	1
145072	1
145337	0
146507	1
148632	0
148838	1
148856	0
149037	1
149303	1
149306	0
149559	0
149637	0
150766	0
150947	1
150995	1
150997	0
151007	0
151011	0
151314	1
151368	1
151369	0
151374	0
151375	0
151681	1
151751	1
151754	0
151757	0
151758	0
152176	1
152180	0
152466	0
152565	0
152968	1
153058	1
153162	0
153458	1
153465	0
153539	1
153695	1
154208	1
154210	0
154226	0
154230	1
154234	0
154334	0
154757	1
154762	0
154806	1
154808	0
154818	0
154852	0
155104	0
155216	1
155223	0
155278	1
155639	1
155655	0
155666	1
155669	0
156842	1
156852	0
156893	0
178348	1
178389	0
