186901	1
186903	0
186910	1
186935	1
186976	0
187155	0
187188	1
189932	1
189945	0
190137	1
190201	1
190631	0
191346	1
191353	0
191361	1
191505	0
191524	1
191549	1
191854	1
191862	1
191883	1
191895	0
191989	0
192109	1
192113	1
192174	0
194248	1
195505	1
195527	0
195554	1
195577	1
195578	0
195719	1
195720	0
195724	1
195729	1
195811	0
196488	1
196558	0
205716	1
205752	0
205790	0
205926	1
207595	0
208282	1
208361	1
208414	0
208431	0
208467	1
208481	1
208534	1
208540	1
208553	1
208554	0
208584	0
208595	0
209125	1
209143	1
209160	0
